review,label
写在年末冬初孩子流感的第五天我们仍然没有忘记热情拥抱这年的第一天带着一丝迷信早晨给孩子穿上红色的羽绒服羽绒裤祈祷新的一年孩子们身体康健仍然会有一丝焦虑焦虑我的孩子为什么会过早的懂事从两岁多开始关注我的情绪会深沉地说妈妈你终于笑了这句话像刀子一样扎入我展开全文,0
开年大模型累到以为自己发烧了腰疼膝盖疼腿疼胳膊疼脖子疼,-1
邱晨这就是我爹爹发烧快好毕竟美好的假期拿来养病不太好假期还是要好好享受快乐爹新年快乐发烧好了就去浪吧快快乐乐的度过这个美好假期说不定以后就没有了嗷邱晨虫仔泉州泉州理工学院,1
新年的第一天感冒又发烧的也太衰了但是我要想着明天一定会好的,1
问我们意念里有坏的想法了天神就会给记下来那如果有好的想法也会被记下来吗答那当然了有坏的想法天神会记叫头上三尺有神灵明白那么地府的官也会记如果你坏得不是太厉害的意念你只要在五分钟当中或者在一分钟两分钟三分钟当中不要让这个坏的意念长存它可能就没了下面展开全文,1
发高烧反反复复眼睛都快睁不开了今天室友带我去看还在发烧中建议我输液我拒绝了给我打针你今天吃东西了吗没有那你觉得不舒服要给我说哦好我室友不忍心看我的惨状背过身去医生好了吗没有医生好了吗还没有我室友展开全文,-1
明天考试今天发烧跨年给我跨坏了兰州兰州交通大学,-1
每个娃都是有故事的娃每个大人也是有故事的大人小枇杷有茶有手法静待每个有需求的大人和孩子的到来这几天在武汉专业手法课的学员阿敏专程过来告诉我们说很喜欢这样的解决问题的感觉她最近用体侧线手法给好多流感的娃调了很有效枇杷说你可以开始记展开全文,0
我真的服了昨天去和她说自己不舒服描述了症状她说啊你这不是感冒没有发烧没事的晚上一回寝就发现发烧了叫了老师打算送她去医院去完医院回我家又在那和我争谁去自己也不坚定到底要谁去什么要不然我心里过意不去最后还是值周老师说这些小孩比你厉害才让我去到医院一量都了好在展开全文,-1
新年第一天为自己鼓掌发烧了也要来看线下演出因为热爱所以才会克服困难线上演出太炸了爱呼兰爱赵晓卉长这么大第一次这么近距离看到明星哈哈哈哈新的一年希望自己更要勇敢更要坚强坚持自己坚持自己思想坚持内心想法最后新展开全文,1
一个人在外就对自己好一点吧一个人过生日应该没什么尴尬的吧今年的惊喜来自东哥第一天就发烧真的有点顶,-1
年的第一天发烧姨妈来难受,-1
魔幻第一天感冒发烧躺了一天哪儿都没有去梦乡一日游上海,-1
哎新年第一天发烧感冒也是够够的头都没开好希望新的一年顺顺利利的,1
在家的时候发烧还会坚持上网上学的时候打个喷嚏都会觉得是癌症晚期,-1
现在是北京时间点分我发了一个晚上的烧难受死了去给自己弄个冷毛巾吧哇第一次发烧发得这么厉害我快死了不要祭奠我行了朋友们我已经灭绝了眼睛都睁不开了现在睡吧晚安分享单曲电影这个杀手不太冷片尾曲网易云音乐,-1
第一天就发烧今年怕是可以过呢红红火火了芒市,1
新年第一天在发烧当中过去了,0
第一天就发烧很丧,-1
他们年少相识一起成长一起出道互相照顾经历了我看不到的岁月和曲折发烧感冒不是你第一时间知道快乐喜悦不是和你第一时间分享我算什么你又算什么有什么资格去点评他们的感情,1
可怜的大宝今天咳嗽发烧还被我训被我打为什么要乱扔东西呢为什么要打人呢妈妈骂你打你但是也很心疼你希望你明天病情好转妈妈好担心你榆林府谷县,1
李汶翰青春有你第一位出道全能舞台王者李汶翰全能李汶翰舞台王者李汶翰热心公益李汶翰小动物呵护者李汶翰篮球发烧友李汶翰游泳健儿期待李汶翰李汶翰评论配图,0
打喷嚏咳嗽不捂住猪嘴的祝你发烧感冒到,-1
